280,2021-08-04,ATER,2.7,10249,31,2.7219
281,2021-08-04,BREF,2.37,24693,31,2.3464
282,2021-08-04,CCB,1.08,40075,31,1.071
283,2021-08-04,CHIM,0.896,50726,31,0.8793
284,2021-08-04,DUH,6.8,2907,31,6.8
285,2021-08-04,EAC,1.08,1700,31,1.08
286,2021-08-04,ELHM,0.79,500,31,0.79
287,2021-08-04,EMKA,3.6,0,31,3.5934
288,2021-08-04,EUBG,2.52,50275,31,2.519
289,2021-08-04,FIB,1.765,3560,31,1.7483
290,2021-08-04,FZLS,19,0,31,19.0019
291,2021-08-04,GAMZ,3.8,0,31,3.8
292,2021-08-04,GR6,1.46,700,31,1.46
293,2021-08-04,HCEN,34.2,0,31,34.2
294,2021-08-04,HES,5.75,335,31,5.7994
295,2021-08-04,HIKA,3.02,0,31,3.02
296,2021-08-04,HNVK,18.4,0,31,18.232
297,2021-08-04,HRZ,2.66,0,31,2.66
298,2021-08-04,HSI,2.6,0,31,2.6
299,2021-08-04,HSOF,3.44,0,31,3.45
300,2021-08-04,HVAR,40,65,31,39.9815
301,2021-08-04,IDH,2.36,0,31,2.36
302,2021-08-04,IHB,1.56,8350,31,1.5612
303,2021-08-04,KBG,8.3,0,31,8.3
304,2021-08-04,LAV,3.8,0,31,3.8
305,2021-08-04,MONB,6,5300,31,6.026
306,2021-08-04,MSH,7.35,0,31,7.1963
307,2021-08-04,NEOH,27.8,106,31,27.8
308,2021-08-04,ODES,102,5,31,102
309,2021-08-04,PET,0.102,249,31,0.102
310,2021-08-04,SFA,3.48,1014,31,3.48
311,2021-08-04,SFT,5.15,1022,31,5.1573
312,2021-08-04,SGH,0.51,7350,31,0.5097
313,2021-08-04,SKEH,22.4,0,31,22.4
314,2021-08-04,SNRG,0.75,0,31,0.6892
315,2021-08-04,SPH,7.1,360,31,7.1167
316,2021-08-04,T57,3.46,0,31,3.4492
317,2021-08-04,TBS,13.5,8281,31,13.5072
318,2021-08-04,TOPL,2.1,0,31,2.1
319,2021-08-04,TXIM,3,0,31,3
320,2021-08-04,YGAG,5.5,0,31,5.5
321,2021-08-04,ZHBG,0.144,3450,31,0.1431
322,2021-08-04,ZLP,1.35,420,31,1.3862
323,2021-07-23,A4L,17.6,559,29,17.6674
324,2021-07-23,ALB,33.6,98,29,32.3306
325,2021-07-23,ALCM,9.2,125,29,9.2
326,2021-07-23,ATER,2.5,6190,29,2.502
327,2021-07-23,BREF,2.14,1930,29,2.1316
328,2021-07-23,CCB,0.995,2330,29,0.991
329,2021-07-23,CHIM,0.846,2880,29,0.846
330,2021-07-23,DUH,7.18,30866,29,7.1077
331,2021-07-23,EAC,1.06,0,29,1.0615
332,2021-07-23,ELHM,0.835,0,29,0.8251
333,2021-07-23,EMKA,3.26,0,29,3.3242
334,2021-07-23,EUBG,2.58,8500,29,2.5612
335,2021-07-23,FIB,1.78,1670,29,1.7692
336,2021-07-23,FZLS,21,0,29,21
337,2021-07-23,GAMZ,3.8,0,29,3.8
338,2021-07-23,GR6,1.47,17,29,1.47
339,2021-07-23,HCEN,33,0,29,33
340,2021-07-23,HES,5.65,30,29,5.65
341,2021-07-23,HIKA,2.96,0,29,2.96
342,2021-07-23,HNVK,18.4,0,29,18.232
343,2021-07-23,HRZ,2.66,0,29,2.66
344,2021-07-23,HSI,2.6,0,29,2.6
345,2021-07-23,HSOF,3.6,0,29,3.6
346,2021-07-23,HVAR,40.2,30,29,40.2
347,2021-07-23,IDH,2.34,0,29,2.34
348,2021-07-23,IHB,1.28,0,29,1.28
349,2021-07-23,KBG,8.25,0,29,8.25
350,2021-07-23,LAV,3.8,0,29,3.8
351,2021-07-23,MONB,6,400,29,6
352,2021-07-23,MSH,7.5,0,29,7.5
353,2021-07-23,NEOH,25.6,474,29,25.1489
354,2021-07-23,ODES,115,0,29,115
