235,ALB,2021-08-02,0
236,CHIM,2021-08-02,0
237,HRZ,2021-08-02,0
238,HSI,2021-08-02,0
239,GR6,2021-08-02,0
240,ZHBG,2021-08-02,0
241,TBS,2021-08-02,0.02206
242,A4L,2021-08-02,0.05618
243,NEOH,2021-08-03,0.12162
244,TOPL,2021-08-03,0
245,ZLP,2021-08-03,0
246,CCB,2021-08-03,0.05
247,EUBG,2021-08-03,0.2129
248,HES,2021-08-03,0
249,HSOF,2021-08-03,0
250,HIKA,2021-08-03,0
251,EMKA,2021-08-03,0
252,BREF,2021-08-03,0.07563
253,FIB,2021-08-03,0
254,ODES,2021-08-03,0
255,PET,2021-08-03,0
256,HVAR,2021-08-03,0
257,ALB,2021-08-03,0.31472
258,CHIM,2021-08-03,0
259,HRZ,2021-08-03,0
260,HSI,2021-08-03,0
261,GR6,2021-08-03,0
262,ZHBG,2021-08-03,0
263,TBS,2021-08-03,0.02206
264,A4L,2021-08-03,0.05618
265,NEOH,2021-08-04,0.11486
266,TOPL,2021-08-04,0
267,ZLP,2021-08-04,0
268,CCB,2021-08-04,0.05
269,EUBG,2021-08-04,0.24516
270,HES,2021-08-04,0.23308
271,HSOF,2021-08-04,0
272,HIKA,2021-08-04,0
273,EMKA,2021-08-04,0
274,BREF,2021-08-04,0.06723
275,FIB,2021-08-04,0
276,ODES,2021-08-04,0
277,PET,2021-08-04,0
278,HVAR,2021-08-04,0
279,ALB,2021-08-04,0.31472
280,CHIM,2021-08-04,0.04091
281,HRZ,2021-08-04,0
282,HSI,2021-08-04,0
283,GR6,2021-08-04,0
284,ZHBG,2021-08-04,0
285,TBS,2021-08-04,0.02206
286,A4L,2021-08-04,0.05618
287,NEOH,2021-08-05,0.11486
288,TOPL,2021-08-05,0
289,ZLP,2021-08-05,0
290,CCB,2021-08-05,0.05
291,EUBG,2021-08-05,0.18667
292,HES,2021-08-05,0.15038
293,HSOF,2021-08-05,0
294,HIKA,2021-08-05,0
295,EMKA,2021-08-05,0
296,BREF,2021-08-05,0.06667
297,FIB,2021-08-05,0
298,ODES,2021-08-05,0
299,PET,2021-08-05,0
300,HVAR,2021-08-05,0
301,ALB,2021-08-05,0.27027
302,CHIM,2021-08-05,0
303,HRZ,2021-08-05,0
304,HSI,2021-08-05,0
305,GR6,2021-08-05,0
306,ZHBG,2021-08-05,0
307,TBS,2021-08-05,0.00735
308,A4L,2021-08-05,0.05618
309,A4L,2021-08-06,0.05618
310,ALB,2021-08-06,0
311,ALUM,2021-08-06,0.11828
312,ATERA,2021-08-06,0.022059
313,BREF,2021-08-06,0.058333
314,CCB,2021-08-06,0.05
315,CHIM,2021-08-06,0
316,DOVUHL,2021-08-06,0.133166
317,0EA,2021-08-06,0.045455
318,ELHIM,2021-08-06,0
319,EMKA,2021-08-06,0
320,EUBG,2021-08-06,0.164286
321,FIB,2021-08-06,0
322,FZLES,2021-08-06,0
323,GAMZA,2021-08-06,0
324,GR6,2021-08-06,0
325,HCEN,2021-08-06,0
326,HES,2021-08-06,0.156716
327,HIKA,2021-08-06,0
328,HNVEK,2021-08-06,0
329,HRZ,2021-08-06,0
330,HSI,2021-08-06,0
331,HSOF,2021-08-06,0
332,HVAR,2021-08-06,0
333,RAZHL,2021-08-06,0
334,IHLBL,2021-08-06,0.245509
335,LACH,2021-08-06,0
336,LAVEN,2021-08-06,0
337,MONBAT,2021-08-06,0.055118
338,MCH,2021-08-06,0
339,NEOH,2021-08-06,0.10274
340,ODES,2021-08-06,0
341,PET,2021-08-06,0
342,SFARM,2021-08-06,0.022727
343,SFTRD,2021-08-06,0.081818
344,SKK,2021-08-06,0.135135
345,SKELN,2021-08-06,0
346,PETHL,2021-08-06,0
347,CENHL,2021-08-06,0.086667
348,TRACE,2021-08-06,0.14359
349,TBS,2021-08-06,0.029197
350,TOPL,2021-08-06,0
351,5CP,2021-08-06,0
352,GAGBT,2021-08-06,0
353,ZHBG,2021-08-06,0
354,ZLP,2021-08-06,0
