Date;^GSPC;^DJI;^IXIC;^NYA;^VIX;EURUSD=X;JPY=X;GBPUSD=X;^IRX;^FVX;^TNX;VWO;QQQ;KWIAX;FRQIX;DODBX;IUASX;IPFPX;BIPIX;OGLYX;IWIRX;CNPIX;VWILX;OAKMX;PAGSX;OPGIX;PARNX;RYOCX;POGSX;FDYNX;BPTRX;UOPIX;RYVLX;AAPL;MSFT;AMZN;GOOGL;GOOG;NVDA;BRK-B;JPM;JNJ;UNH;HD;PG;V;BAC;MA;PFE;XOM;DIS;CSCO;AVGO;ADBE;CVX;PEP;TMO;KO;CMCSA;NFLX;ABT;ACN;COST;CRM;INTC;WFC;VZ;WMT;QCOM;MRK;LLY;MCD;T;NKE;DHR;LOW;LIN;TXN;NEE
13.12.2018;2650.540039;24597.38086;7070.330078;11936.16016;20.64999962;1.168360829;111.137001;1.289673567;2.328000069;2.655999899;2.825000048;35.88830566;161.5806122;94.64065552;47.59416962;73.52537537;35.28622055;33.14788437;40.2416954;67.04029846;28.55734253;43.61284256;69.79270172;64.77142334;29.37743759;44.26155853;37.29225922;31.71385765;57.90581894;56.08267975;45.17142868;22.52106667;105.9070663;41.48859787;105.837471;1658.380005;1073.540039;1061.900024;36.98431396;202.4199982;91.75428009;136.5402222;259.6403809;161.9748993;88.86155701;134.9977417;22.79528999;195.580658;37.6975174;64.08779907;112.0209732;43.10638046;228.6149139;248.0800018;100.1877289;108.5146408;239.6564789;44.94701004;34.43569946;276.019989;68.59441376;153.4537811;215.0993805;141.1399994;44.80959702;42.88274002;49.60352707;88.21582031;53.63254166;68.16285706;108.472084;173.6301727;24.02353096;70.95095825;101.1119232;89.27218628;149.5445251;88.47962189;42.73475266
14.12.2018;2599.949951;24100.50977;6910.660156;11755.37988;21.62999916;1.169125676;111.1620026;1.28676939;2.338000059;2.627000093;2.778000116;35.43970108;157.6463013;94.66024017;47.39922714;72.86737061;34.86262131;32.48892975;38.96483231;65.79639435;27.9763031;42.75633621;68.47555542;63.80212021;28.88547325;43.39752579;37.00085068;30.8951416;57.0632515;54.84527588;44.34501648;21.37523651;100.4677505;40.16106415;102.530365;1591.910034;1051.709961;1042.099976;36.37821198;200;91.00115204;122.834465;252.8381042;160.5029602;88.99971771;132.5930481;22.87002754;192.0123444;37.04623413;62.92224884;110.8453369;41.60805893;225.5437469;230;98.36441803;104.4803009;232.5466919;44.82889557;34.04225159;266.8399963;67.24494171;148.9339752;196.6291656;137.0399933;44.41059113;42.43594742;49.594841;87.1624527;53.19860458;66.44271088;105.7050247;170.70578;24.27252007;70.56180573;99.0403595;88.39169312;148.4472198;87.02097321;42.50958633
17.12.2018;2545.939941;23592.98047;6753.72998;11532.12012;24.52000046;1.170973897;111.711998;1.303593993;2.335000038;2.653000116;2.789000034;35.05518341;154.0741119;94.66024017;47.23084641;72.12354279;34.53220749;31.89670181;38.12732315;64.68296814;27.48163414;41.32731247;67.2542038;62.89622498;28.32618523;42.25634003;36.20375443;30.21138382;56.21142197;53.1596756;42.92076874;20.42530632;96.04269409;39.78731537;99.4940033;1520.910034;1025.650024;1016.530029;35.66530609;197.9199982;89.83970642;119.2694855;246.2075958;156.4785461;85.43567657;128.9712524;22.86068535;187.2152405;36.46263123;61.64017105;109.2844162;40.13698196;224.9241791;221.3800049;97.17189789;103.4900513;227.2640381;43.91123962;33.92047119;262.7999878;66.2851181;145.2376556;192.0424805;130.8300018;43.68680954;42.49977875;48.61301804;86.13756561;52.62618256;65.35677338;102.3335724;168.3774109;23.98336792;68.00319672;99.01075745;85.63654327;149.6121216;84.860672;41.19846344
18.12.2018;2546.159912;23675.64063;6783.910156;11502.16016;25.57999992;1.166466355;110.9990005;1.301100731;2.329999924;2.64199996;2.792000055;35.27490997;155.0429993;94.69937897;47.28401566;71.92326355;34.37123871;31.74655914;37.20056915;64.97872162;27.68578339;40.80516434;67.29040527;62.91433716;28.44133377;42.54978943;36.07518768;30.40931129;55.8225441;53.59812546;42.6218605;20.68774033;97.2614212;40.30425644;100.5383606;1551.47998;1043.410034;1028.709961;36.49993515;196.5200043;89.41323853;120.4516373;241.3420258;158.4069214;85.17780304;130.2079468;22.86068535;188.3555145;35.86211014;59.94181442;108.1285324;40.00984955;223.3052979;226.1799927;94.83010864;102.5456467;228.68396;43.9021492;33.39588928;270.9400024;66.59872437;145.6877289;192.7642212;132.3200073;44.29924011;42.41771698;48.35235596;86.4317627;53.34633636;64.57489777;100.5770111;167.371582;23.89502144;69.2192688;99.3560257;86.59281921;149.8783722;87.27946472;41.28055191
19.12.2018;2506.959961;23323.66016;6636.830078;11371.83984;25.57999992;1.160106301;111.1439972;1.2923069;2.332999945;2.58100009;2.749000072;34.6889801;151.2359009;94.69937897;47.19540405;71.16119385;34.09166336;31.29614067;36.31500244;64.05667114;27.13615227;40.07691193;66.59998322;61.9087944;27.97251701;41.77541351;35.38093948;29.70755959;55.00775146;52.7602005;41.7251091;19.71563339;92.70548248;39.04708862;100.2675858;1495.079956;1035.459961;1023.01001;34.40591812;195.1699982;88.27901459;117.8564453;238.8042908;156.0965881;84.50553131;128.8338623;22.58975792;183.9417877;35.49841309;58.92613983;107.9013214;39.1744194;218.1356812;224.6499939;93.17959595;100.8952332;226.7576141;43.52054977;32.96496582;266.769989;65.57236481;144.5578156;191.2637787;131.1600037;42.28564453;41.64266586;48.53481674;85.92880249;52.33996964;64.08837891;103.0418777;166.8593292;23.95124054;67.09841919;99.28697205;85.52295685;148.1857147;83.57743835;40.93341827
20.12.2018;2467.419922;22859.59961;6528.410156;11222.79004;28.37999916;1.161548138;111.0879974;1.286901951;2.380000114;2.637000084;2.796999931;34.95448303;149.0436554;94.67980194;47.02705002;70.45249176;33.70194244;30.63718224;35.90998077;63.24769592;26.78281593;39.27537155;65.91798401;60.94854736;27.56950378;40.92768097;34.84096527;29.23972321;54.5447998;51.6689415;40.30086517;19.10945511;89.85905457;38.0617485;98.1595459;1460.829956;1023.580017;1009.409973;33.55887985;193.5800018;87.51679993;118.4659882;231.2960663;152.929184;83.78720093;126.380043;22.52436256;179.6066742;35.48150253;57.13620377;105.7081223;38.5841713;216.3468475;218.6499939;90.71681976;101.0511169;218.1186676;43.19346619;32.43100739;260.5799866;64.98317719;137.4141541;187.1994324;127.7300034;42.25780487;41.98003769;47.84840775;82.82566833;52.04452515;63.84513855;103.211853;161.7555695;23.01150513;65.69749451;97.02798462;84.41520691;146.4930267;83.17121887;41.02490234
21.12.2018;2416.620117;22445.36914;6332.990234;11036.83984;30.11000061;1.158654571;111.4609985;1.285842896;2.34800005;2.589999914;2.743000031;34.67067337;144.4243011;94.69937897;46.77007675;69.57611847;33.21903229;29.96154594;34.28987503;61.70804214;26.40592384;38.70284653;64.88236237;59.43570709;26.98554611;39.62347412;34.0781517;28.32204437;53.53556824;50.11000824;39.99316025;17.9044857;84.14982605;36.5813179;94.98780823;1377.449951;991.25;979.539978;32.18522644;192.1000061;85.44797516;118.2997437;227.3845062;149.5009308;83.77797699;121.9632416;21.8330307;172.2144318;35.46458817;56.71163177;102.9616852;38.00299454;219.0479584;208.8000031;90.05144501;100.3267746;214.2758179;43.22071838;31.61602783;246.3899994;63.92831802;131.3813477;184.7208862;122.9100037;41.60824966;41.1411705;47.71808243;82.68334961;50.64115524;63.33255768;103.3346176;162.1932831;22.73841476;70.40615845;97.14635468;82.97608948;145.5991364;83.46665192;40.83725357
24.12.2018;2351.100098;21792.19922;6192.919922;10769.83008;36.06999969;1.16352129;111.4489975;1.291489124;2.328000069;2.572999954;2.736000061;34.40241623;140.8428345;94.69937897;46.64601135;68.51686859;32.75307083;29.26922989;33.47982788;60.72509766;25.98192215;36.87991714;64.01512909;58.18557739;26.48383141;39.19145584;33.41818619;27.62928963;52.40596771;49.05772781;38.27000046;17.02108955;80.00286102;35.63481522;91.02313995;1343.959961;984.6699829;976.2199707;31.56670189;187.7599945;83.60599518;113.4510117;222.2327271;147.3210449;80.45337677;119.4799957;21.23512268;171.6835785;34.29737473;54.53873062;99.13841248;36.57730865;209.1111603;205.1600037;87.26892853;97.21847534;207.0071716;41.75791931;30.97901726;233.8800049;62.30325317;128.0010681;180.4190979;121.3300018;40.44834518;39.75521469;46.09331131;81.44020081;49.53324127;61.81223679;100.813118;158.5890045;21.97538757;66.25202942;93.56552124;81.38549042;140.8634338;81.05708313;39.42292404
26.12.2018;2467.699951;22878.44922;6554.359863;11204.08984;30.40999985;1.162006974;110.4950027;1.292540669;2.299999952;2.50999999;2.686000109;35.0108223;149.6369476;94.77766418;47.00932693;70.29245758;33.58333206;30.67888641;36.36306;63.44776535;27.08903885;38.73032761;66.30529022;61.10255051;27.67642975;40.79725647;34.82382584;29.32969093;54.93367767;52.02944946;41.21519852;19.12424088;89.86723328;38.14427567;97.24090576;1470.900024;1047.849976;1039.459961;33.06207657;197.5700073;87.07218933;117.0251999;232.1642303;156.7673187;82.96755219;127.8228836;22.52436256;183.2634735;35.6844902;57.14453888;104.5522461;38.56600571;221.9368591;222.9499969;92.79937744;99.3273468;216.4405365;42.64831924;31.98135376;253.6699982;66.16158295;133.1145782;188.6238098;130.8399963;42.86095428;41.56972504;47.30102539;85.79595184;51.66598511;64.28820038;104.9117508;162.081543;22.55368042;71.02878571;98.60631561;86.19515991;145.2472992;85.83927155;39.95300674
27.12.2018;2488.830078;23138.82031;6579.490234;11285.30957;29.95999908;1.156109452;110.9199982;1.293025494;2.36500001;2.503000021;2.661000013;34.93707657;150.2160034;94.82659149;47.03591537;70.51346588;33.71888351;30.91244125;36.6874733;63.64783096;27.17540932;39.19750977;66.18741608;61.51926804;27.82447243;40.80541229;34.95063782;29.44665146;55.25774384;52.63353729;41.37344742;19.27947998;90.58702087;37.89671707;97.8404541;1461.640015;1052.900024;1043.880005;32.58266449;200.1199951;88.05217743;117.6717072;234.6637421;158.6677856;84.7449646;129.5699615;22.76726532;185.4851074;36.24272156;57.39429474;105.2339096;38.96556091;224.3607178;225.1399994;94.46717072;100.3267746;219.5386047;43.18438339;32.2904892;255.5700073;67.12139893;134.4552155;190.9503937;135.1999969;43.01870346;41.51501465;47.9179306;86.91571808;51.78601456;65.48709869;106.6116486;163.646225;22.60990906;71.67088318;100.2859726;86.9715271;148.7372742;86.60552979;40.37988663
28.12.2018;2485.73999;23062.40039;6584.52002;11290.9502;28.34000015;1.159595013;111.1480026;1.302643061;2.355000019;2.368000031;2.553999901;35.18597031;150.1375275;94.89169312;47.16957092;70.71920013;33.74305344;30.80400848;36.6874733;63.80440903;27.26178169;39.84183121;66.43158722;61.37432098;27.84914589;41.1314621;34.89852142;29.4376545;55.21144867;52.62379074;41.76028061;19.25730133;90.44797516;37.91614914;97.07652283;1478.02002;1046.680054;1037.079956;33.19868851;202.0800018;87.86161804;117.5424118;234.9213715;158.5746155;83.97138214;128.5197906;22.7859478;182.9980927;36.33575821;56.75325012;106.0045013;38.8384285;226.8113861;223.1300049;93.88819885;101.1886444;220.8890686;42.88455963;32.17807007;256.0799866;67.55854797;133.8902435;191.8620453;134.6799927;43.38059616;41.74297333;48.02219009;87.42816925;52.45076752;65.47840118;107.8488007;163.5065155;22.85889435;71.34983063;100.6120377;86.98097992;148.6421509;86.60552979;40.51123428
31.12.2018;2506.850098;23327.46094;6635.279785;11374.38965;25.42000008;1.159608483;111.6070023;1.301557899;2.35800004;2.482000113;2.65899992;35.12143707;151.4036102;94.93115234;47.28697968;71.07736969;33.91565323;31.14599609;36.6511879;64.3002243;27.39526176;39.13885117;66.70102692;61.8635025;28.07121658;41.52272415;35.21120453;29.64458275;55.65587997;53.14019012;41.99765396;19.53821754;90.44797516;38.28261185;98.21756744;1501.969971;1044.959961;1035.609985;33.16143417;204.1799927;88.57845306;119.1863708;237.6689758;160.0651398;84.65288544;129.5012817;23.01950645;185.4457855;36.91936111;56.76990891;108.3261261;39.34694672;227.4284973;226.2400055;94.00918579;101.2986755;222.2196503;43.02083969;32.07445908;267.6600037;68.73695374;135.0297394;193.447937;136.9700012;43.54761887;42.01651764;48.84761047;88.39611816;52.54309082;66.38191986;109.2842484;165.3784943;22.92315483;72.12812805;101.8866119;87.44490814;148.385376;87.24254608;40.7692337
02.01.2019;2510.030029;23346.24023;6665.939941;11383.53027;23.21999931;1.162925959;111.2200012;1.304546356;2.352999926;2.519000053;2.681999922;35.27814865;152.0121307;94.96074677;47.33213806;71.31362152;34.10551071;31.24608803;37.28260422;64.21324921;27.37170792;39.10160446;66.26319885;62.39797592;28.08766747;41.64499664;35.18514633;29.78853226;56.02623749;52.93558121;40.99541092;19.71563339;92.61551666;38.32629013;97.78242493;1539.130005;1054.680054;1045.849976;33.83708572;202.8000031;90.11191559;117.9857178;232.2977753;160.6148071;84.06346893;130.46315;23.31846046;186.5172882;36.58104706;58.0186882;107.654335;39.00188446;226.7398071;224.5700073;95.65102386;100.1983871;217.8803406;42.63924408;32.37589264;267.6600037;66.04754639;134.6275787;194.4450226;135.5500031;43.68680954;42.80068207;48.67383957;88.57640839;52.99549103;65.66952515;108.4909592;163.9721527;23.72634697;72.0503006;99.29793549;87.35968781;149.4884949;87.19636536;39.83339691
03.01.2019;2447.889893;22686.2207;6463.5;11190.44043;25.45000076;1.169180393;112.012001;1.311131477;2.400000095;2.571000099;2.71600008;34.72505569;147.0458527;94.98047638;47.25084686;70.66587067;33.80345917;30.72059631;37.29711914;62.75187302;26.54726028;38.4079361;64.84868622;60.92137146;27.38033485;40.25112152;34.54241562;28.79887772;55.1651535;51.2207489;39.72941208;18.40347672;86.43187714;34.50871658;94.18520355;1500.280029;1025.469971;1016.059998;31.79274368;191.6600037;88.83127594;116.1108932;225.9629974;157.0747375;83.47406006;125.7617035;22.944767;178.1026764;35.557621;57.12788773;105.0462112;37.58346176;206.5710602;215.6999969;93.81906891;99.26317596;210.6812134;42.3757515;32.63022614;271.2000122;62.93046951;130.0311279;190.3236542;130.3999939;41.2834816;42.46331024;48.84761047;88.12091064;51.42593765;64.32296753;105.1195221;162.8918152;23.75847626;70.77585602;96.45240021;86.31825256;144.8193512;82.05415344;39.73487854
04.01.2019;2531.939941;23433.16016;6738.859863;11533.33984;21.37999916;1.162898898;111.9530029;1.307326317;2.390000105;2.559000015;2.727999926;35.82201767;153.3371124;94.97061157;47.60306931;72.12142181;34.53700256;31.88835907;39.85906982;64.91782379;27.49733734;39.99546432;67.47563934;63.40351868;28.40020752;42.14222717;35.80182266;30.08542442;57.10954285;53.53966522;41.71632385;20.04090309;94.16960144;35.98186874;98.56570435;1575.390015;1078.069946;1070.709961;33.82962799;195.1999969;92.1060791;118.0596161;228.6056671;161.7419739;85.17780304;131.1796722;23.8976841;186.5369263;36.36959076;59.23417664;108.2866058;39.27642059;208.6013184;226.1900024;95.7633667;101.2986755;220.2039337;43.22071838;33.7323494;297.5700073;64.72657776;135.0872192;195.8504791;137.9600067;43.81671143;43.72161102;48.96925354;88.67131042;52.2568779;66.26028442;108.2832108;166.0397491;24.36890411;72.62429047;99.24853516;88.87454987;148.9464722;85.76540375;40.46665955
07.01.2019;2549.689941;23531.34961;6823.470215;11605.95996;21.39999962;1.166915655;111.6900024;1.314630508;2.375;2.559000015;2.730999947;35.89576721;155.162674;94.96074677;47.68434525;72.39573669;34.69234467;32.23035049;41.36140823;66.11824799;27.67008018;40.26548004;68.28392792;64.07388306;28.91836929;43.53609467;36.1926651;30.39131737;57.35953903;54.48476791;42.53394318;20.45487976;96.07540131;35.90177536;98.69140625;1629.51001;1075.920044;1068.390015;35.6205864;196.9100037;92.17010498;117.3022919;229.0445099;164.9280243;84.83705902;133.545105;23.87899971;187.9721375;36.56412506;59.542202;109.2251358;39.54178619;212.849762;229.2599945;97.00771332;100.4276276;223.1729279;42.65740585;33.37440491;315.3399963;65.69592285;135.5564423;196.5722198;142.2200012;44.02086258;43.4389534;49.28204727;89.71518707;52.10915375;65.53051758;108.868721;167.8465424;24.8106575;73.66526794;99.65362549;90.55983734;148.8133392;87.24254608;40.40802765
08.01.2019;2574.409912;23787.44922;6897;11716.23047;20.46999931;1.167992353;112.2770004;1.316846371;2.369999886;2.525000095;2.700999975;36.09857559;156.5662231;94.95088959;47.79270172;72.71581268;34.83905792;32.38049316;41.79686737;66.7358551;27.76430321;40.97312164;68.64597321;64.49060059;29.17333984;44.54685974;36.64431381;30.68821526;57.72063828;55.09859848;43.06143951;20.85037422;97.94849396;36.58617401;99.40698242;1656.579956;1085.369995;1076.280029;34.73380661;196.3099976;91.99629974;120.0268173;232.1069641;165.7198639;85.15019226;134.2714691;23.83228874;189.3408813;36.73329163;59.97512817;110.0747604;39.86207962;211.1414337;232.6799927;96.58428192;101.3903656;228.3662109;43.13895035;33.64757156;320.269989;64.90712738;138.9846344;198.0440826;145.7200012;44.29924011;43.34777069;50.7243576;90.34148407;51.65674973;66.01703644;109.8697739;168.20047;25.12390709;74.64785767;102.1929016;92.43447113;150.391861;87.13173676;40.70355988
