ticker;company;weight
AIZ;Assurant Inc.;0.023213
PBCT;People's United Financial Inc.;0.022973
DISH;DISH Network Corporation Class A;0.022895
NWSA;News Corporation Class A;0.022885
NWL;Newell Brands Inc;0.022807
WYNN;Wynn Resorts Limited;0.022588
DXC;DXC Technology Co.;0.021731
NCLH;Norwegian Cruise Line Holdings Ltd.;0.021433
IVZ;Invesco Ltd.;0.021401
OGN;Organon & Co.;0.021206
DISCK;Discovery Inc. Class C;0.021058
PNW;Pinnacle West Capital Corporation;0.020513
HII;Huntington Ingalls Industries Inc.;0.019878
DVA;DaVita Inc.;0.019625
PENN;Penn National Gaming Inc.;0.019258
PVH;PVH Corp.;0.018947
ROL;Rollins Inc.;0.018918
NLSN;Nielsen Holdings Plc;0.018858
VNO;Vornado Realty Trust;0.018538
ALK;Alaska Air Group Inc.;0.017902
IPGP;IPG Photonics Corporation;0.014758
RL;Ralph Lauren Corporation Class A;0.01443
FOX;Fox Corporation Class B;0.013823
DISCA;Discovery Inc. Class A;0.012135
GPS;Gap Inc.;0.009682
UAA;Under Armour Inc. Class A;0.009295
UA;Under Armour Inc. Class C;0.008282
NWS;News Corporation Class B;0.007246
